system:index,B11_2018,B11_2024,B12_2018,B12_2024,B2_2018,B2_2024,B3_2018,B3_2024,B4_2018,B4_2024,B8_2018,B8_2024,DW_LABEL_2018,DW_LABEL_2024,MNDWI_2018,MNDWI_2024,NDBI_2018,NDBI_2024,NDVI_2018,NDVI_2024,NDWI_2018,NDWI_2024,latitude,longitude,point_id,region,region_id,.geo
1_2_309_0_1_2_309_0,0.2037,0.2068,0.13845,0.1494,0.072,0.0688,0.08045,0.079,0.1002,0.1086,0.2329,0.2286,6,6,-0.43374977,-0.44716585,-0.06688044,-0.050068904,0.39837888,0.3558719,-0.48651668,-0.48634592,9.760959129950102,76.31839617176321,5309.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_310_0_1_2_310_0,0.014,0.0154,0.0093,0.0111,0.0758,0.0706,0.0767,0.0727,0.0481,0.0461,0.0227,0.0236,0,0,0.69128996,0.6503973,-0.23705722,-0.21025641,-0.35875705,-0.32281205,0.54325956,0.509865,9.87450618186281,76.25686157480104,5310.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_311_0_1_2_311_0,0.01365,0.0165,0.0091,0.0112,0.0744,0.067,0.0693,0.0646,0.0428,0.0378,0.026,0.0242,0,0,0.6708861,0.59309494,-0.3114754,-0.1891892,-0.24418604,-0.21935484,0.45435467,0.45495495,9.985807445565218,76.16649105721861,5311.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_312_0_1_2_312_0,0.01335,0.0135,0.0086,0.01,0.08285,0.0766,0.0819,0.079,0.05205,0.0502,0.0291,0.0289,0,0,0.719685,0.7081081,-0.37102473,-0.36320755,-0.28280962,-0.2692794,0.47567567,0.4643188,10.031172367413255,76.1964947877082,5312.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_313_0_1_2_313_0,0.0098,0.01385,0.0075,0.0106,0.0604,0.06205,0.0568,0.0564,0.0322,0.0343,0.0188,0.0201,0,0,0.7057057,0.60569394,-0.3146853,-0.18409425,-0.2627451,-0.26102942,0.5026455,0.4745098,9.824829346651,76.23871560606182,5313.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_314_0_1_2_314_0,0.0144,0.0162,0.0085,0.0134,0.0687,0.0592,0.0558,0.0483,0.035,0.0313,0.0238,0.0202,0,0,0.5897436,0.4976744,-0.2460733,-0.10989011,-0.1904762,-0.21553399,0.40201005,0.41021898,9.861031452601017,76.1777199982701,5314.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_315_0_1_2_315_0,0.0158,0.0169,0.0095,0.0129,0.0705,0.0607,0.0571,0.0505,0.0392,0.031,0.025,0.0194,0,0,0.5665295,0.49851632,-0.2254902,-0.06887052,-0.2211838,-0.23015873,0.3909866,0.4449213,9.874146855749162,76.17035381294032,5315.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_316_0_1_2_316_0,0.2217,0.2155,0.11555,0.1102,0.0479,0.0503,0.0624,0.0673,0.0516,0.0487,0.3414,0.3464,1,1,-0.56071806,-0.5240453,-0.21257326,-0.2329596,0.7374046,0.75348014,-0.6909361,-0.67464346,10.048959010038821,76.41783967371525,5316.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_317_0_1_2_317_0,0.21435,0.2081,0.1893,0.1757,0.0784,0.0781,0.0913,0.0879,0.0976,0.0904,0.1409,0.1396,6,6,-0.40258464,-0.40608108,0.2067558,0.19700892,0.18155137,0.21391304,-0.21360895,-0.22725275,10.03557411230544,76.40705989030582,5317.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_318_0_1_2_318_0,0.01005,0.0124,0.0072,0.0092,0.0585,0.0494,0.0615,0.0526,0.04225,0.0381,0.02555,0.0258,0,0,0.7190776,0.61846155,-0.43539324,-0.35078534,-0.24631268,-0.19248827,0.41298103,0.34183672,9.827883618617006,76.37975110566857,5318.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_319_0_1_2_319_0,0.3042,0.2136,0.19275,0.1465,0.06775,0.1228,0.0955,0.1266,0.1378,0.1214,0.2829,0.2062,6,6,-0.52214164,-0.2557319,0.03628002,0.017627442,0.34490135,0.25885227,-0.49524313,-0.2391827,10.021201067759527,76.43912974594888,5319.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_320_0_1_2_320_0,0.2152,0.2035,0.1763,0.1602,0.1247,0.1172,0.1421,0.1228,0.1485,0.1324,0.2382,0.2182,6,6,-0.20458998,-0.24731842,-0.050727833,-0.034858905,0.23196276,0.24472333,-0.25269523,-0.2797654,9.950054497257263,76.32064195997351,5320.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_321_0_1_2_321_0,0.0139,0.0163,0.00915,0.0112,0.077,0.0634,0.0678,0.0604,0.0412,0.034,0.02645,0.0237,0,0,0.65973073,0.5749674,-0.3110285,-0.185,-0.218034,-0.17850953,0.43872678,0.43638524,9.972781873945486,76.15544177922393,5321.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_322_0_1_2_322_0,0.19055,0.22625,0.1025,0.1324,0.0442,0.052,0.056,0.0689,0.0427,0.0609,0.2939,0.3294,1,6,-0.54573107,-0.5331187,-0.21333471,-0.18563844,0.7462864,0.6879324,-0.6799086,-0.6540296,9.903701428596694,76.40499376515234,5322.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_323_0_1_2_323_0,0.0761,0.07815,0.0446,0.0431,0.0414,0.052,0.0543,0.0647,0.0494,0.04965,0.0742,0.0812,0,3,-0.16717792,-0.09415471,0.012641384,-0.019140257,0.20064725,0.24111578,-0.15486382,-0.113091156,9.8330938472649,76.30132818136495,5323.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_324_0_1_2_324_0,0.1928,0.1813,0.13525,0.1389,0.0614,0.0532,0.0765,0.0631,0.06785,0.0559,0.2159,0.2058,6,6,-0.4318604,-0.4836334,-0.056520674,-0.06329114,0.52176213,0.57279325,-0.47674417,-0.53068054,10.020572247060644,76.22533070832843,5324.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_325_0_1_2_325_0,0.274,0.2245,0.17515,0.1363,0.0607,0.053,0.07995,0.0714,0.07555,0.065,0.2527,0.2094,1,2,-0.54824126,-0.51740456,0.040440477,0.034800645,0.5396801,0.52623904,-0.5193146,-0.491453,10.03970636261239,76.37058828977057,5325.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
